"registry_code","age_group","number_of_cases","person_years_at_risk","incidence_rate_100000","latitude","longitude"
203200599,2,0,190827,0,-38.9455556,-68.0506112
203200599,14,108,63329,170.537984177865,-38.9455556,-68.0506112
203200599,3,0,198340,0,-38.9455556,-68.0506112
203200599,10,30,114019,26.3114042396443,-38.9455556,-68.0506112
203200599,9,14,120608,11.6078535420536,-38.9455556,-68.0506112
203200599,5,1,172467,0.579821067218656,-38.9455556,-68.0506112
203200599,15,113,46465,243.193801786291,-38.9455556,-68.0506112
203200599,13,128,80803,158.409960026237,-38.9455556,-68.0506112
203200599,1,0,188142,0,-38.9455556,-68.0506112
203200599,4,0,192668,0,-38.9455556,-68.0506112
203200599,17,54,29718,181.708055723804,-38.9455556,-68.0506112
203200599,12,112,95332,117.484160617631,-38.9455556,-68.0506112
203200599,16,75,31867,235.353186682148,-38.9455556,-68.0506112
203200599,6,0,159065,0,-38.9455556,-68.0506112
203200599,7,2,154399,1.29534517710607,-38.9455556,-68.0506112
203200599,8,5,137761,3.62947423436241,-38.9455556,-68.0506112
203200699,5,1,318053,0.314413006637259,-31.4173391,-64.183319
203200699,11,73,156187,46.7388451023453,-31.4173391,-64.183319
203200699,13,155,124287,124.71135356071,-31.4173391,-64.183319
203200699,6,1,302318,0.330777525651797,-31.4173391,-64.183319
203200699,10,35,171339,20.4273399517915,-31.4173391,-64.183319
203200699,9,11,183247,6.00282678570454,-31.4173391,-64.183319
203200699,17,70,50593,138.359061530251,-31.4173391,-64.183319
203200699,2,0,271241,0,-31.4173391,-64.183319
203200699,7,5,271189,1.84373259977359,-31.4173391,-64.183319
203200699,12,131,144461,90.6819141498398,-31.4173391,-64.183319
203200699,16,105,52742,199.082325281559,-31.4173391,-64.183319
203200699,15,157,71134,220.71020890151,-31.4173391,-64.183319
203200699,1,0,281002,0,-31.4173391,-64.183319
203200699,3,0,274157,0,-31.4173391,-64.183319
203200699,14,171,94611,180.740083077021,-31.4173391,-64.183319
203200699,8,6,224450,2.67320115838717,-31.4173391,-64.183319
203200699,4,0,293449,0,-31.4173391,-64.183319
203200799,10,29,217788,13.3157015078884,-32.8897294,-68.8442956
203200799,6,4,348040,1.14929318469141,-32.8897294,-68.8442956
203200799,2,0,375135,0,-32.8897294,-68.8442956
203200799,16,143,73332,195.003545519009,-32.8897294,-68.8442956
203200799,11,87,205997,42.2336247615257,-32.8897294,-68.8442956
203200799,12,145,192033,75.5078554206829,-32.8897294,-68.8442956
203200799,5,1,371995,0.268820817484106,-32.8897294,-68.8442956
