"","incidence_rate_100000","discription","registry_code","latitude","longitude","distance"
"1",491.451060711023,"Canada, Alberta",312400199,55.001251,-115.002136,798982.413527085
"2",512.357176614495,"Canada, British Columbia",312400299,55.001251,-125.002441,256698.821253879
"3",535.624913480071,"Canada, Manitoba",312400399,55.001251,-97.001038,333925.864788374
"4",675.711344559996,"Canada, New Brunswick",312400599,46.500283,-66.750183,124129.562303182
"5",667.236954662104,"Canada, Nova Scotia",312400699,45.1960403,-63.1653789,23876.9633224945
"6",609.859393528714,"Canada, Prince Edward Island",312400799,46.5035454,-63.5955171,5722.2577336102
"7",694.978411308925,"Canada, Newfoundland and Labrador",312400899,53.8217327,-61.2295532,22070.6430952879
"8",442.637837465624,"Canada, Ontario",312401099,50.000678,-86.000977,371951.693274685
"9",452.350919925188,"Canada, Saskatchewan",312401299,55.5321257,-106.1412243,776445.29809489
"10",518.229959697599,"USA",384000099,39.7837304,-100.4458825,1217088.91282438
"11",459.117256349901,"USA, California, San Francisco Bay Area",384000299,37.7884969,-122.3558473,2215.01158876974
"12",394.933950701348,"USA, California, Los Angeles County",384000399,34.3155072,-118.2096814,42970.3492196307
"13",518.447238318376,"USA, Connecticut",384000499,41.6500201,-72.7342163,41022.4653144809
"14",519.55178701032,"USA, Georgia, Atlanta",384000599,33.7490987,-84.3901849,356049.104625245
"15",546.023048286857,"USA, Iowa",384000699,41.9216734,-93.3122705,1309448.08457865
"16",537.242571267934,"USA, Louisiana, New Orleans",384000799,29.9499323,-90.0701156,9693.09127799453
"17",616.530025670467,"USA, Michigan, Detroit",384000899,42.3315509,-83.0466403,632948.081119893
"18",372.421695951108,"USA, New Mexico",384000999,34.5708167,-105.993007,760937.883879686
"19",244.320488340275,"USA, Utah",384001299,39.4225192,-111.7143584,849657.812239229
"20",574.526199022573,"USA, Washington, Seattle",384001399,47.6038321,-122.3300624,862.940393432387
"21",508.728433043365,"USA, New Jersey",384001599,40.0757384,-74.4041622,25603.7798838236
"22",519.9818479064,"USA, New York State",384001699,43.1561681,-75.8449946,223962.9468275
"23",727.053937076645,"USA, Kentucky",384001999,37.5726028,-85.1551411,682209.910283155
"24",572.303031722609,"USA, Louisiana",384002299,30.8703881,-92.007126,114954.25787236
"25",449.34390316691,"USA, California",384002599,36.7014631,-118.7559974,238060.698820239
"26",588.845138324983,"USA, Arkansas",384004099,35.2048883,-92.4479108,573420.163292009
"27",607.131384516544,"USA, Delaware",384004199,38.6920451,-75.4013315,20292.7776857011
"28",484.129712386845,"USA, Maryland",384004299,39.5162234,-76.9382069,39338.591286168
"29",400.011609835642,"USA, Minnesota",384004399,45.9896587,-94.6113288,1148238.85565017
"30",628.515529469308,"USA, Mississippi",384004499,32.9715645,-89.7348497,289381.090642069
"31",574.898785425101,"USA, North Carolina",384004599,35.6729639,-79.0392919,178115.80901216
"32",506.011003192284,"USA, North Dakota",384004699,47.6201461,-100.540737,1157186.81784776
"33",456.718304957134,"USA, Nebraska",384004799,41.7370229,-99.5873816,1391303.35389155
"34",500.898768030164,"USA, New Hampshire",384004899,43.4849133,-71.6553992,85067.0049319687
"35",529.453918028567,"USA, Nevada",384004999,39.5158825,-116.8537227,432889.024110972
"36",628.088486583845,"USA, Alaska",384005099,64.4459613,-149.680909,327142.8881462
"37",618.316212532145,"USA, Alabama",384005199,33.2588817,-86.8295337,294627.486569924
"38",451.557222934087,"USA, Arizona",384005299,34.395342,-111.7632755,366029.736069278
"39",413.140013113191,"USA, Colorado",384005399,38.7251776,-105.6077167,1077901.77236819
"40",474.221572807834,"USA, Florida",384005599,27.7567667,-81.4639835,91460.3310021024
"41",580.772904321634,"USA, Georgia",384005699,32.3293809,-83.1137366,184718.41610771
"42",446.663424221069,"USA, Idaho",384005799,43.6447642,-114.0154071,769020.049415968
"43",569.214585323612,"USA, Illinois",384005899,40.0796606,-89.4337288,1044248.42608709
"44",588.554133069835,"USA, Indiana",384005999,40.3270127,-86.1746933,787900.933718903
"45",514.189696817921,"USA, Massachusetts",384006099,42.3788774,-72.032366,81053.4148717319
"46",577.27654779388,"USA, Maine",384006199,45.709097,-68.8590201,127579.012910193
"47",534.127381159819,"USA, Michigan",384006299,43.6211955,-84.6824346,809486.09747
"48",596.829983590166,"USA, Missouri",384006399,38.7604815,-92.5617875,953209.476096675
"49",506.223647335067,"USA, Montana",384006499,47.3752671,-109.6387579,943896.606726164
"50",555.488209245777,"USA, Ohio",384006599,40.2253569,-82.6881395,500746.233557133
"51",545.970646386585,"USA, Oklahoma",384006699,34.9550817,-97.2684063,613718.375371276
"52",489.013564181738,"USA, Oregon",384006799,43.9792797,-120.737257,266574.016758243
"53",554.21515818992,"USA, Pennsylvania",384006899,40.9699889,-77.7278831,208421.017919797
"54",571.2253816772,"USA, Rhode Island",384006999,41.7962409,-71.5992372,16913.5497246768
"55",586.630441794194,"USA, South Carolina",384007099,33.6874388,-80.4363743,103430.840537933
"56",519.889493677131,"USA, Texas",384007199,31.8160381,-99.5120986,439107.128255296
"57",499.260751248152,"USA, Vermont",384007299,44.5990718,-72.5002608,122059.443050706
"58",531.729448298951,"USA, Washington State",384007399,47.2868352,-120.2126139,159842.040859578
"59",617.741709808311,"USA, West Virginia",384007499,38.4758406,-80.8408415,303980.430230428
"60",493.504608462153,"USA, Wisconsin",384007599,44.4308975,-89.6884637,979851.412105571
"61",430.975321858959,"USA, Wyoming",384007699,43.1700264,-107.5685348,1245920.0438676
"62",537.726091896237,"USA, Virginia",384007799,37.1232245,-78.4927721,110211.622649282
