"registry_code","discription","latitude","longitude","distance"
384006499,"USA, Montana",47.3752671,-109.6387579,943896.606726164
384004799,"USA, Nebraska",41.7370229,-99.5873816,1391303.35389155
384004999,"USA, Nevada",39.5158825,-116.8537227,432889.024110972
384004899,"USA, New Hampshire",43.4849133,-71.6553992,85067.0049319687
384001599,"USA, New Jersey",40.0757384,-74.4041622,25603.7798838236
384000999,"USA, New Mexico",34.5708167,-105.993007,760937.883879686
384001699,"USA, New York State",43.1561681,-75.8449946,223962.9468275
384004599,"USA, North Carolina",35.6729639,-79.0392919,178115.80901216
384004699,"USA, North Dakota",47.6201461,-100.540737,1157186.81784776
384006599,"USA, Ohio",40.2253569,-82.6881395,500746.233557133
384006699,"USA, Oklahoma",34.9550817,-97.2684063,613718.375371276
384006799,"USA, Oregon",43.9792797,-120.737257,266574.016758243
384006899,"USA, Pennsylvania",40.9699889,-77.7278831,208421.017919797
384006999,"USA, Rhode Island",41.7962409,-71.5992372,16913.5497246768
384007099,"USA, South Carolina",33.6874388,-80.4363743,103430.840537933
384007899,"USA, South Dakota",44.6471761,-100.348761,1460502.54942892
384007999,"USA, Tennessee",35.7730076,-86.2820081,577135.723001871
384007199,"USA, Texas",31.8160381,-99.5120986,439107.128255296
384001299,"USA, Utah",39.4225192,-111.7143584,849657.812239229
384007299,"USA, Vermont",44.5990718,-72.5002608,122059.443050706
384007799,"USA, Virginia",37.1232245,-78.4927721,110211.622649282
384007399,"USA, Washington State",47.2868352,-120.2126139,159842.040859578
384001399,"USA, Washington, Seattle",47.6038321,-122.3300624,862.940393432387
384007499,"USA, West Virginia",38.4758406,-80.8408415,303980.430230428
384007599,"USA, Wisconsin",44.4308975,-89.6884637,979851.412105571
384007699,"USA, Wyoming",43.1700264,-107.5685348,1245920.0438676
409600099,"Brunei Darussalam",4.4137155,114.5653908,30505.8149287826
415601299,"China, Anshan City",40.822222,122.8275,55975.7967433266
415600199,"China, Beijing",39.906217,116.3912757,144066.09725901
415603199,"China, Benxi",41.297577,123.7646562,142665.346323562
415600699,"China, Cixian County",36.360112,114.3660941,371754.173124696
415602499,"China, Guangzhou",23.1301964,113.2592945,15194.5182025909
415605199,"China, Guanyun",34.297019,119.247985,43927.9901836132
415602599,"China, Haimen County",31.8729183,121.1771295,3606.59080463485
415602199,"China, Hangzhou City",30.2489634,120.2052342,251.390414061251
415601599,"China, Harbin City, Nangang District",45.6991743,126.5919596,468248.180293483
415605399,"China, Hefei",31.7509529,117.3322844,220527.046321286
415605499,"China, Hengdong",27.0843342,112.9480217,441575.644634717
415603099,"China, Hong Kong",22.350627,114.1849161,3745.47596624988
415605799,"China, Huaiyin District, Huai'an",33.6350534,119.0054308,115988.145776602
415606099,"China, Jiangmen",22.5766294,113.079047,8842.90316841218
415603299,"China, Jianhu County",33.4826164,119.8160643,64713.3469182037
415600799,"China, Jiashan County",30.8969393,120.8874525,38050.8267191053
415602399,"China, Jiaxing City",30.6509396,120.7831656,22139.9153263638
415606899,"China, Lianyungang",34.6092633,119.1695305,11801.1405377094
415600899,"China, Linzhou County",36.0673949,113.8105402,431129.693217329
415607199,"China, Liuzhou",24.3285821,109.409259,276788.21291739
415607599,"China, Maanshan",31.6866105,118.5048377,118504.575823071
415600299,"China, Qidong County",26.7715732,112.0560184,429629.941190186
415600399,"China, Shanghai City",31.2252985,121.4890497,16508.6863146086
415608399,"China, Shenyang",41.8041094,123.4276363,158262.673449127
415601699,"China, Shexian County",29.8635777,118.4101129,171614.083719517
415608499,"China, Sheyang",33.7749116,120.2562202,16841.8938343654
415608899,"China, Tongling City",30.887432,117.5915732,240147.005960888
415600999,"China, Wuhan City",30.6667682,114.3715539,525700.715782905
415609299,"China, Wuxi",31.5776264,120.2951311,37245.2808450181
415609399,"China, Xianju",31.4008032,112.035339,722195.529011179
415609699,"China, Xiping",33.3833188,114.0209155,499825.992038774
415609999,"China, Yanshi",34.7333075,112.7677155,587677.178951221
415601899,"China, Yanting County",31.253476,105.4705025,1073819.80475461
415610299,"China, Yueyanglou",29.3548271,113.15335,682631.571950084
415601499,"China, Zhongshan City",22.5213807,113.3656141,14451.6312409379
415610599,"China, Zhuhai",22.2305196,113.5462439,1110.86838382277
435600199,"India, Ahmedabad",23.0216238,72.5797068,74903.450905432
435600299,"India, Bangalore",12.9791198,77.5912997,263491.194332132
435600799,"India Barshi, Paranda, and Bhum",18.45908,75.65877,274201.261915374
435601499,"India, Bhopal",23.2530923,77.3962718,468933.438777996
435602599,"India, Cachar",24.7586399,92.8816648,249513.503477319
435600499,"India, Chennai",13.0801721,80.2838331,743.902807796744
435601199,"India, Dindigul, Ambilikkai",10.5367125,77.7024632,162421.766818779
435601599,"India, Kamrup Urban District",26.1275551,91.2998715,287741.584395714
435602199,"India, Kollam",8.8870537,76.5907058,1960.66158674198
435601999,"India, Mizoram",23.2146169,92.8687612,131824.74457667
435600399,"India, Mumbai",18.9387711,72.8353355,348.038580675826
435600699,"India, Poona",18.5203062,73.8543185,87123.4937610093
435601899,"India, Sikkim State",27.601029,88.4541364,489267.399088733
435602299,"India, Tripura",23.7750823,91.7025091,98820.8100279863
435600899,"India, Trivandrum",8.5058909,76.9570481,5966.91962076527
435602099,"India, Wardha",20.4355888,78.6463504,531373.718692732
436400399,"Iran (Islamic Republic of), Golestan Province",37.1984436,55.070672,95282.5411851844
437600099,"Israel",30.8760272,35.0015196,88063.8191196031
439201099,"Japan, Aichi Prefecture",34.9991645,137.254574,20497.2418859834
439200999,"Japan, Fukui Prefecture",35.9263502,136.6068127,48783.8901953074
439200199,"Japan, Hiroshima Prefecture",34.5666725,132.753565,29349.9093434773
439200299,"Japan, Miyagi Prefecture",38.3880155,140.9761025,9003.90246937588
439200399,"Japan, Nagasaki Prefecture",33.1154683,129.7874339,3002.93311239195
439200899,"Japan, Niigata Prefecture",37.6452283,138.7669125,202.792883866322
439200499,"Japan, Osaka Prefecture",34.6198813,135.490357,6933.84581934775
439201199,"Japan, Tochigi Prefecture",36.6782167,139.8096549,75293.6973261266
439200699,"Japan, Yamagata Prefecture",38.4746705,140.083237,43900.5165285556
441000099,"Republic of Korea",36.5581914,127.9408564,93215.154165146
441000299,"Republic of Korea, Busan",35.1799528,129.0752365,5305.68664029605
441000499,"Republic of Korea, Daegu",35.8713,128.6018,72773.888770341
441000599,"Republic of Korea, Daejeon",36.3496,127.3848,56179.8852660286
441001099,"Republic of Korea, Gwangju",35.1595775,126.8515089,36965.865766807
441001199,"Republic of Korea, Incheon",37.456,126.7052,7141.40178322529
441000999,"Republic of Korea, Jejudo",33.3939924,126.5626653,14734.8133578566
441000399,"Republic of Korea, Seoul",37.5666791,126.9782914,21224.5761680331
