"registry_code","discription","start","end","latitude","longitude"
384006999,"USA, Rhode Island",2008,2012,41.7962409,-71.5992372
384007099,"USA, South Carolina",2008,2012,33.6874388,-80.4363743
384007899,"USA, South Dakota",2008,2012,44.6471761,-100.348761
384007999,"USA, Tennessee",2008,2012,35.7730076,-86.2820081
384007199,"USA, Texas",2008,2012,31.8160381,-99.5120986
384001299,"USA, Utah",2008,2012,39.4225192,-111.7143584
384007299,"USA, Vermont",2008,2012,44.5990718,-72.5002608
384007799,"USA, Virginia",2008,2012,37.1232245,-78.4927721
384007399,"USA, Washington State",2008,2012,47.2868352,-120.2126139
384001399,"USA, Washington, Seattle",2008,2012,47.6038321,-122.3300624
384007499,"USA, West Virginia",2008,2012,38.4758406,-80.8408415
384007599,"USA, Wisconsin",2008,2012,44.4308975,-89.6884637
384007699,"USA, Wyoming",2008,2012,43.1700264,-107.5685348
409600099,"Brunei Darussalam",2010,2012,4.4137155,114.5653908
415601299,"China, Anshan City",2008,2012,40.822222,122.8275
415600199,"China, Beijing",2008,2012,39.906217,116.3912757
415603199,"China, Benxi",2008,2011,41.297577,123.7646562
415600699,"China, Cixian County",2008,2012,36.360112,114.3660941
415602499,"China, Guangzhou",2010,2012,23.1301964,113.2592945
415605199,"China, Guanyun",2008,2012,34.297019,119.247985
415602599,"China, Haimen County",2008,2012,31.8729183,121.1771295
415602199,"China, Hangzhou City",2008,2012,30.2489634,120.2052342
415601599,"China, Harbin City, Nangang District",2008,2012,45.6991743,126.5919596
415605399,"China, Hefei",2010,2012,31.7509529,117.3322844
415605499,"China, Hengdong",2009,2012,27.0843342,112.9480217
415603099,"China, Hong Kong",2008,2012,22.350627,114.1849161
415605799,"China, Huaiyin District, Huai'an",2009,2012,33.6350534,119.0054308
415606099,"China, Jiangmen",2010,2012,22.5766294,113.079047
415603299,"China, Jianhu County",2010,2012,33.4826164,119.8160643
415600799,"China, Jiashan County",2008,2012,30.8969393,120.8874525
415602399,"China, Jiaxing City",2008,2012,30.6509396,120.7831656
415606899,"China, Lianyungang",2008,2012,34.6092633,119.1695305
415600899,"China, Linzhou County",2008,2012,36.0673949,113.8105402
415607199,"China, Liuzhou",2009,2012,24.3285821,109.409259
415607599,"China, Maanshan",2008,2012,31.6866105,118.5048377
415600299,"China, Qidong County",2008,2012,26.7715732,112.0560184
415600399,"China, Shanghai City",2008,2012,31.2252985,121.4890497
415608399,"China, Shenyang",2008,2012,41.8041094,123.4276363
415601699,"China, Shexian County",2008,2012,29.8635777,118.4101129
415608499,"China, Sheyang",2008,2012,33.7749116,120.2562202
415608899,"China, Tongling City",2008,2012,30.887432,117.5915732
415600999,"China, Wuhan City",2008,2012,30.6667682,114.3715539
415609299,"China, Wuxi",2010,2012,31.5776264,120.2951311
415609399,"China, Xianju",2010,2012,31.4008032,112.035339
415609699,"China, Xiping",2010,2012,33.3833188,114.0209155
415609999,"China, Yanshi",2010,2012,34.7333075,112.7677155
415601899,"China, Yanting County",2008,2012,31.253476,105.4705025
415610299,"China, Yueyanglou",2009,2012,29.3548271,113.15335
415601499,"China, Zhongshan City",2010,2012,22.5213807,113.3656141
415610599,"China, Zhuhai",2010,2012,22.2305196,113.5462439
435600199,"India, Ahmedabad",2008,2011,23.0216238,72.5797068
435600299,"India, Bangalore",2008,2012,12.9791198,77.5912997
435600799,"India Barshi, Paranda, and Bhum",2008,2012,18.45908,75.65877
435601499,"India, Bhopal",2008,2012,23.2530923,77.3962718
435602599,"India, Cachar",2008,2012,24.7586399,92.8816648
435600499,"India, Chennai",2008,2012,13.0801721,80.2838331
435601199,"India, Dindigul, Ambilikkai",2008,2012,10.5367125,77.7024632
435601599,"India, Kamrup Urban District",2009,2012,26.1275551,91.2998715
