"registry_code","sex","age_group","number_of_cases","person_years_at_risk","discription","start","end","latitude","longitude"
101200399,1,10,11,136651,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,7,1,218117,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,17,7,0,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,10,3,142956,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,8,2,174979,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,9,1,160956,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,15,34,39705,"Algeria, Batna",2008,2012,35.554404,6.1767453
140400299,2,2,0,774885,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,8,4,475865,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,7,3,707530,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,13,21,75305,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,16,6,28860,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,17,3,0,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,11,9,124470,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,11,11,208410,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,3,0,599755,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,6,2,1140785,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,3,0,635070,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,4,0,771460,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,19,0,0,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,14,16,36790,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,10,6,205510,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,13,11,50525,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,15,10,21200,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,1,0,988900,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,1,0,996905,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,5,0,1331535,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,2,0,759500,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,4,0,578860,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,18,1,0,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,9,3,445545,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,8,4,672295,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,15,10,22310,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,14,5,28320,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,12,14,121520,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,7,2,913115,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,12,2,74905,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,9,1,287460,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,10,11,329505,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,19,0,0,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,5,1,1055445,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,16,6,38470,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,1,6,3,1172980,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,18,1,0,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
140400299,2,17,3,0,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
169000099,2,6,0,13301,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,7,1,14350,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,12,0,7436,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,13,0,5598,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,14,0,4392,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,15,0,4407,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,1,0,14146,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,10,0,13580,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,5,0,12849,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,8,1,14410,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,4,0,13795,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,11,3,10476,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,2,0,12892,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,14,2,3900,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,17,2,0,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,16,1,3854,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,15,2,2930,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,9,0,13358,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,9,0,13773,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,3,0,12131,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,17,3,0,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,16,2,8006,"Seychelles",2009,2012,-4.6574977,55.4540146
