"","incidence_rate_100000","discription","registry_code","latitude","longitude","distance"
"1",0,"Algeria, Setif",101200199,36.1892751,5.403493,51103.6294088374
"2",0,"Algeria, Batna",101200399,35.554404,6.1767453,138927.135170452
"3",0,"Kenya, Nairobi",140400299,-1.2832533,36.8172449,407787.942897311
"4",0,"Seychelles",169000099,-4.6574977,55.4540146,2319.19767848382
"5",0,"South Africa, Eastern Cape",171000199,-32.2171831,26.6386401,140452.978824505
"6",0.0329433282512759,"Uganda, Kyadondo County",180000299,0.3252441,32.6075916,906695.639684692
"7",0,"Argentina, Entre Rios Province",203200599,-38.9455556,-68.0506112,326579.573196783
"8",0,"Argentina, Cordoba",203200699,-31.4173391,-64.183319,573301.735088022
"9",0,"Argentina, Mendoza",203200799,-32.8897294,-68.8442956,245217.49750528
"10",0,"Argentina, Tierra del Fuego",203200899,-53.8904638,-68.348598,39376.4220719914
"11",0,"Argentina, Chaco",203201199,-26.3829647,-60.8816092,720427.760514003
"12",0,"Brazil, Goiania",207600299,-16.680882,-49.2532691,850676.048659778
"13",0,"Brazil, Florianopolis",207600599,-27.5973002,-48.5496098,1133.72953610151
"14",0,"Brazil, Aracaju",207601199,-10.9162061,-37.0774655,5493.3933544822
"15",0,"Brazil, Curitiba",207601299,-25.4295963,-49.2712724,53843.9740251106
"16",0,"Brazil, Jau",207601799,-22.293585,-48.559193,275000.068681669
"17",0,"Brazil, Pocos de Caldas",207602099,-21.790833,-46.5657169,228708.489014229
"18",0,"Chile, Valdivia",215200199,-39.8141965,-73.2458525,12065.0200779027
"19",0,"Chile, Biobio Province",215200299,-40.5647991,-73.1606179,48153.3084731593
"20",0,"Chile, Region of Antofagasta",215200399,-23.6463741,-70.3980033,579.626477228549
"21",0.247243849191142,"Chile, Concepcion",215200599,-36.8270776,-73.0502683,8518.25295335996
"22",0,"Colombia, Cali",217000199,3.4517923,-76.5324943,69726.6148339766
"23",0,"Colombia, Bucaramanga",217000299,7.1114611,-73.1172869,267107.984445651
"24",0,"Colombia, Manizales",217000399,5.0681104,-75.5173198,197228.557042558
"25",0,"Colombia, Pasto",217000499,1.2146286,-77.2782516,156976.117798648
"26",0.0343749398438553,"Costa Rica",218800099,10.2735633,-84.0739102,68793.1284372125
"27",0,"Ecuador, Quito",221800199,-0.2201641,-78.5123274,157470.348027737
"28",0,"Ecuador, Cuenca",221800299,-2.8661654,-79.1855137,67258.3217957968
"29",0.0449062805924037,"Ecuador, Guayaquil",221800399,-2.1898771,-79.8877153,1421.86100610387
"30",0,"Ecuador, Loja",221800499,-4.0528506,-79.8053425,88192.5960368879
"31",0,"Ecuador, Manabi",221800599,-0.7588025,-80.0612131,28541.9689812916
"32",0,"France, Martinique",225009199,14.6367927,-61.0158269,2657.89392409686
"33",0,"French Guiana",225009499,4.0039882,-52.999998,108206.669418057
"34",0,"Jamaica, Kingston and St Andrew",238800199,18.0163772,-76.7806345,5818.89818031675
"35",0,"Peru, Lima",260400299,-12.0621065,-77.0365256,5769.89614368428
"36",0.0425649828952616,"USA, Puerto Rico",263000099,18.2214172,-66.4132819,26000.2448451227
"37",0,"Uruguay",285800099,-32.8755548,-56.0201525,189821.400741988
"38",0.0866591677600165,"Canada, Alberta",312400199,55.001251,-115.002136,798982.413527085
"39",0.0909283925269591,"Canada, British Columbia",312400299,55.001251,-125.002441,256698.821253879
"40",0,"Canada, Manitoba",312400399,55.001251,-97.001038,333925.864788374
"41",0,"Canada, Northwest Territories",312400499,65.0000004,-118,338068.506966557
"42",0.274569132388999,"Canada, New Brunswick",312400599,46.500283,-66.750183,124129.562303182
"43",0,"Canada, Nova Scotia",312400699,45.1960403,-63.1653789,23876.9633224945
"44",0,"Canada, Prince Edward Island",312400799,46.5035454,-63.5955171,5722.2577336102
"45",0,"Canada, Newfoundland and Labrador",312400899,53.8217327,-61.2295532,22070.6430952879
"46",0,"Canada, Yukon",312400999,63.000147,-136.002502,378056.309763243
"47",0.125931807926008,"Canada, Ontario",312401099,50.000678,-86.000977,371951.693274685
"48",0,"Canada, Saskatchewan",312401299,55.5321257,-106.1412243,776445.29809489
"49",0,"Canada, Nunavut",312401399,70.0000073,-90,55589.1401870038
"50",0.0410754198155347,"USA",384000099,39.7837304,-100.4458825,1217088.91282438
"51",0.038891408187886,"USA, California, San Francisco Bay Area",384000299,37.7884969,-122.3558473,2215.01158876974
"52",0.0312334365181964,"USA, California, Los Angeles County",384000399,34.3155072,-118.2096814,42970.3492196307
"53",0.0474448797248577,"USA, Connecticut",384000499,41.6500201,-72.7342163,41022.4653144809
"54",0.0407333634760223,"USA, Georgia, Atlanta",384000599,33.7490987,-84.3901849,356049.104625245
"55",0,"USA, Iowa",384000699,41.9216734,-93.3122705,1309448.08457865
"56",0,"USA, Louisiana, New Orleans",384000799,29.9499323,-90.0701156,9693.09127799453
"57",0.0409107384961049,"USA, Michigan, Detroit",384000899,42.3315509,-83.0466403,632948.081119893
"58",0,"USA, New Mexico",384000999,34.5708167,-105.993007,760937.883879686
"59",0,"USA, Utah",384001299,39.4225192,-111.7143584,849657.812239229
"60",0.0351036945585412,"USA, Washington, Seattle",384001399,47.6038321,-122.3300624,862.940393432387
"61",0.0181322742151082,"USA, New Jersey",384001599,40.0757384,-74.4041622,25603.7798838236
"62",0.0603800093520009,"USA, New York State",384001699,43.1561681,-75.8449946,223962.9468275
"63",0.0355143399801972,"USA, Kentucky",384001999,37.5726028,-85.1551411,682209.910283155
"64",0,"USA, Louisiana",384002299,30.8703881,-92.007126,114954.25787236
"65",0.0477176641249058,"USA, California",384002599,36.7014631,-118.7559974,238060.698820239
"66",0.0508746626373934,"USA, Arkansas",384004099,35.2048883,-92.4479108,573420.163292009
"67",0,"USA, Delaware",384004199,38.6920451,-75.4013315,20292.7776857011
"68",0,"USA, Maryland",384004299,39.5162234,-76.9382069,39338.591286168
"69",0.0565099936511022,"USA, Minnesota",384004399,45.9896587,-94.6113288,1148238.85565017
"70",0,"USA, Mississippi",384004499,32.9715645,-89.7348497,289381.090642069
"71",0.0634141747802461,"USA, North Carolina",384004599,35.6729639,-79.0392919,178115.80901216
"72",0,"USA, North Dakota",384004699,47.6201461,-100.540737,1157186.81784776
"73",0,"USA, Nebraska",384004799,41.7370229,-99.5873816,1391303.35389155
"74",0.136715305415157,"USA, New Hampshire",384004899,43.4849133,-71.6553992,85067.0049319687
"75",0.0541146039081567,"USA, Nevada",384004999,39.5158825,-116.8537227,432889.024110972
"76",0,"USA, Alaska",384005099,64.4459613,-149.680909,327142.8881462
"77",0,"USA, Alabama",384005199,33.2588817,-86.8295337,294627.486569924
"78",0.0441670069366493,"USA, Arizona",384005299,34.395342,-111.7632755,366029.736069278
"79",0.0581633074448452,"USA, Colorado",384005399,38.7251776,-105.6077167,1077901.77236819
"80",0.0556970208313356,"USA, Florida",384005599,27.7567667,-81.4639835,91460.3310021024
"81",0.0290311914023546,"USA, Georgia",384005699,32.3293809,-83.1137366,184718.41610771
"82",0,"USA, Idaho",384005799,43.6447642,-114.0154071,769020.049415968
"83",0.0237167967809666,"USA, Illinois",384005899,40.0796606,-89.4337288,1044248.42608709
"84",0.0685386240277225,"USA, Indiana",384005999,40.3270127,-86.1746933,787900.933718903
"85",0,"USA, Massachusetts",384006099,42.3788774,-72.032366,81053.4148717319
"86",0.13979581423373,"USA, Maine",384006199,45.709097,-68.8590201,127579.012910193
"87",0.0813300389245566,"USA, Michigan",384006299,43.6211955,-84.6824346,809486.09747
"88",0.0773761440062891,"USA, Missouri",384006399,38.7604815,-92.5617875,953209.476096675
"89",0,"USA, Montana",384006499,47.3752671,-109.6387579,943896.606726164
"90",0.0685360373450126,"USA, Ohio",384006599,40.2253569,-82.6881395,500746.233557133
"91",0,"USA, Oklahoma",384006699,34.9550817,-97.2684063,613718.375371276
"92",0,"USA, Oregon",384006799,43.9792797,-120.737257,266574.016758243
"93",0.0541540121150648,"USA, Pennsylvania",384006899,40.9699889,-77.7278831,208421.017919797
"94",0,"USA, Rhode Island",384006999,41.7962409,-71.5992372,16913.5497246768
"95",0.0335656524021595,"USA, South Carolina",384007099,33.6874388,-80.4363743,103430.840537933
"96",0.0468164039061319,"USA, Texas",384007199,31.8160381,-99.5120986,439107.128255296
"97",0,"USA, Vermont",384007299,44.5990718,-72.5002608,122059.443050706
"98",0.0230722873219627,"USA, Washington State",384007399,47.2868352,-120.2126139,159842.040859578
"99",0,"USA, West Virginia",384007499,38.4758406,-80.8408415,303980.430230428
"100",0,"USA, Wisconsin",384007599,44.4308975,-89.6884637,979851.412105571
"101",0,"USA, Wyoming",384007699,43.1700264,-107.5685348,1245920.0438676
"102",0.0392680359561698,"USA, Virginia",384007799,37.1232245,-78.4927721,110211.622649282
"103",0,"USA, South Dakota",384007899,44.6471761,-100.348761,1460502.54942892
"104",0.0733121705534336,"USA, Tennessee",384007999,35.7730076,-86.2820081,577135.723001871
"105",0,"Brunei Darussalam",409600099,4.4137155,114.5653908,30505.8149287826
"106",0,"China, Beijing",415600199,39.906217,116.3912757,144066.09725901
"107",0,"China, Qidong County",415600299,26.7715732,112.0560184,429629.941190186
"108",0,"China, Shanghai City",415600399,31.2252985,121.4890497,16508.6863146086
"109",0,"China, Cixian County",415600699,36.360112,114.3660941,371754.173124696
"110",0,"China, Jiashan County",415600799,30.8969393,120.8874525,38050.8267191053
